,proposition
380,"Nous nous battrons, au niveau européen, pour une taxe sur le chiffre d’affaires réalisé dans nos pays pour des prestations de service électronique."
381,Nous reconstruirons une politique de mobilité plus juste et porterons à 200 000 le nombre de billets aidés chaque année pour la mobilité des ultra-marins en France et dans leur environnement régional.
382,"Nous négocierons au sein de l’Union Européenne afin que les normes prennent mieux en compte les spécificités de nos territoires d’outre-mer, par exemple, dans l’agriculture ou la politique de la pêche."
383,"Nous consacrerons 1 milliard d’euros sur 5 ans au financement des investissements collectifs des territoires ultra-marins, dans le cadre du plan d’investissement."
384,"Nous financerons nos actions dans la formation, le tourisme, la santé et la transition énergétique grâce au plan d’investissement."
385,"Pour favoriser la compétitivité et la pérennité des entreprises et le développement de l'emploi, nous engagerons une évaluation des dispositifs de soutien existants."
386,Nous supprimerons la caisse qui gère le Régime Social des Indépendants (RSI) pour l’adosser au régime général et nous renforcerons l’activité de Bpifrance dans les Outre-mer.
387,"Nous donnerons aux Outre-mer les moyens d’une croissance bleue plus dynamique, en organisant la filière maritime et en développant le volet ultra-marin de la « task force maritime » créée par le Comité interministériel de la mer."
388,"Sur la base de stratégies de développement du tourisme, concertées territoire par territoire, nous ferons un bilan des aides fiscales et sociales."
389,Nous organiserons une conférence internationale sur la biodiversité.
390,Nous localiserons dans les Outre-mer l'Agence française pour la biodiversité.
391,"Afin de faire de l’enseignement supérieur ultra-marin un secteur d’excellence, nous soutiendrons le développement d’un ERASMUS caribéen et nous ferons de nos universités outre-mer des pôles universitaires internationaux rayonnant dans leurs régions."
392,"Nous développerons et étendrons, avec les collectivités territoriales concernées, les services de l’État et les représentants des entreprises, tous les dispositifs qui ont fait leurs preuves."
393,Nous organiserons en partenariat avec les collectivités territoriales et le milieu associatif un réseau de structures d'accueil capable de mettre en œuvre la réponse pénale en direction des mineurs.
394,"Nous favoriserons le recrutement au sein des départements d'outre-mer en créant des écoles de formation de gendarmes adjoints et d'adjoints de sécurité en Martinique, en Guadeloupe et à la Réunion (pour la Réunion et Mayotte) et nous créerons parallèlement des classes d'excellence pour accompagner les jeunes ultra-marins qui souhaitent entreprendre une carrière dans les métiers de la sécurité et de la justice."
395,Nous demanderons à l’Autorité de la Concurrence d’évaluer l’efficacité des mesures prises pour réduire les écarts de prix.
396,Nous favoriserons la poursuite des évolutions en cours en répondant favorablement aux demandes d’habilitation des collectivités concernées.
397,Nous mènerons à bien les consultations institutionnelles prévues en Nouvelle-Calédonie.
398,Nous créerons un versement social unique et automatique pour lutter contre le non-recours aux aides sociales.
399,"L’allocation adultes handicapés (AAH), pour une personne seule, est aujourd'hui d'environ 800 euros par mois : nous la porterons au-delà de 900 euros par mois."
400,"Nous réduirons la pauvreté des personnes âgées. Le minimum vieillesse, pour une personne seule, est aujourd'hui d'environ 800 euros : nous le porterons au-delà de 900 euros."
401,Nous augmenterons de 50% le montant de la prime d’activité.
402,"Nous créerons un droit effectif à la domiciliation pour les personnes sans-abris, afin qu’elles puissent accéder à la plénitude de leurs droits et notamment aux minimas sociaux."
403,"Nous créerons un coffre-fort numérique et l’accès à un cloud solidaire permettant de conserver les documents d’identité numérisés, dont la gestion sera confiée à la Poste."
404,"Nous porterons enfin une stratégie d’inclusion numérique, en développant avec les associations et les personnes bénéficiaires des formations aux outils numériques."
405,Nous maintiendrons la loi SRU (Loi Solidarité et Renouvellement Urbain) qui a accéléré l’accroissement de la construction de logements sociaux depuis 16 ans.
406,"Nous poursuivrons la production de logements sociaux au même niveau et au même rythme que ces dernières années, en concentrant les aides de l’Etat sur les logements aux plus faibles loyers et dans les zones où la demande en logement social est la plus forte."
407,Nous ferons la transparence sur l’attribution des logements sociaux dans les zones tendues.
408,"Nous renforcerons fortement la mobilité dans le parc social là où la demande est très forte en tenant compte de manière plus dynamique de l'évolution de la situation des locataires et en fluidifiant les changements de logement nécessaires à l'évolution des besoins des locataires (vieillissement, arrivée ou départ des enfants, mobilité professionnelle,...)"
409,Nous créerons 10 000 places supplémentaires en pension de famille sur le quinquennat.
410,Nous augmenterons considérablement la part de l’intermédiation locative (gestion ou location d’un logement du parc privé par une association pour y loger des ménages à faibles ressources).
411,"Nous travaillerons sur la pertinence des soins, et nous nous engageons à ce qu’aucun soin utile ne soit déremboursé pendant les 5 ans qui viennent."
412,"S’agissant des lunettes, des prothèses dentaires et de l’audition, nous fixons l’objectif de 100% de prise en charge pour 2022, contre alors que la couverture reste trop faible aujourd’hui. Nous réaliserons cet objectif sans augmenter le prix des mutuelles."
413,Nous rétablirons le remboursement à 100% du traitement des formes sévères d’hypertension artérielle (HTA).
414,Nous financerons des actions de prévention au titre des missions d’intérêt général dans les établissements de santé et des objectifs de performance pour tous les professionnels de santé libéraux.
415,"Nous créerons un service sanitaire de 3 mois pour tous les étudiants en santé : dans ce cadre, 40 000 d’entre eux interviendront dans les écoles, les entreprises, pour des actions de prévention."
416,Nous livrerons un effort national de formation sans précédent.
417,Nous généraliserons la Garantie jeunes à 200 000 jeunes.
418,"Nous renforcerons les pratiques consistant à représenter les personnes bénéficiaires aux seins des instances, comme par exemple au sein du Conseil national de lutte contre la pauvreté et l’exclusion sociale."
419,15 milliards d’euros seront consacrés à la transition écologique.
420,15 milliards d’euros seront consacrés aux compétences.
421,5 milliards d’euros seront consacrés à l’agriculture.
422,5 milliards d’euros seront consacrés à la santé.
423,5 milliards d’euros seront consacrés aux transports et aux équipements collectifs locaux.
424,5 milliards d’euros seront consacrés à la modernisation de l’action publique.
425,Nous exonèrerons 4 Français sur 5 de la taxe d’habitation.
426,"S’agissant des lunettes, des prothèses dentaires et de l’audition, nous fixons l’objectif de 100% de prise en charge pour 2022, contre alors que la couverture reste trop faible aujourd’hui."
427,Nous rétablirons les exonérations de cotisations sociales sur les heures supplémentaires.
428,"Nous augmenterons le revenu net de chacun, en réduisant les cotisations sociales."
429,"Nous ferons en sorte que toute reprise d’emploi se traduise par un supplément de revenu conséquent, en augmentant la prime d’activité."
430,"Nous réduirons la pauvreté des personnes âgées. Le minimum vieillesse, pour une personne seule, est aujourd'hui d'environ 800 euros : nous le porterons au-delà de 900 euros."
431,"Nous réduirons la pauvreté des personnes en situation de handicap. L'allocation aux adultes handicapés (AAH), pour une personne seule, est aujourd'hui d'environ 800€ par mois : nous la porterons au-delà de 900 par mois."
432,Nous créerons un versement social unique et automatique pour lutter contre le non-recours aux aides sociales.
433,"Nous organiserons des services publics vraiment neutres, et des actions de formation à la laïcité seront systématiquement proposées aux agents de l’administration."
434,Nous permettrons l’expression raisonnable de la liberté religieuse dans l’espace public.
435,Nous laisserons de la marge de manœuvre aux entreprises pour régler les questions religieuses au travail.
436,Nous agirons pour aider les musulmans à restructurer l’islam de France.
437,Créer une Fédération nationale de l’islam de France regroupant des associations cultuelles locales créées dans le cadre posé par la loi de 1905.
438,Nous formerons des imams sur le sol français et de façon adaptée aux valeurs de la République.
439,Susciter au sein de l’université la création de diplômes universitaires destinés aux ministres du culte.
440,Créer un statut unifié des aumôniers.
441,Nous combattrons les dérives de l’islam identitaire et nous préviendrons la radicalisation.
442,"Nous réaffirmerons la place de la République dans tous les quartiers, dans un partenariat exigeant avec le secteur associatif."
443,Nous serons intransigeants sur le respect de l’égalité entre les hommes et les femmes et la place des femmes dans l’espace public.
444,Nous combattrons l’idéologie djihadiste :
445,"Demain, chacun pourra connaître en temps réel ses droits."
446,"Demain, personne ne craindra de « perdre des droits »."
447,"Demain, personne n’accusera autrui de « profiter du système »."
448,"Demain, chacun pourra mieux choisir son âge de départ."
449,"Demain, nous ne pénaliserons plus les parcours heurtés."
450,Le système restera un régime par répartition.
451,Les taux de cotisation pourront rester différents.
452,Les spécificités de certains régimes ne disparaîtront pas.
453,Il y aura toujours un âge légal de la retraite à partir duquel on pourra liquider ses droits. Il restera à 62 ans.
454,La solidarité nationale aidera ceux qui en ont besoin.
455,La pénibilité sera toujours prise en compte.
456,Nous financerons des actions de prévention au titre des missions d’intérêt général dans les établissements de santé et des objectifs de performance pour tous les professionnels de santé libéraux.
457,"Nous créerons un service sanitaire de 3 mois pour tous les étudiants en santé : dans ce cadre, 40 000 d’entre eux interviendront dans les écoles, les entreprises, pour des actions de prévention."
458,Nous soutiendrons la recherche en santé environnementale et limiterons les risques d’exposition aux substances à risque.
459,Nous ferons évoluer la rémunération des médecins en ville afin de mieux valoriser les actions de prévention.
460,"Nous travaillerons sur la pertinence des soins, et nous engageons à ce qu’aucun soin utile ne soit déremboursé pendant les 5 ans qui viennent."
461,"S’agissant des lunettes, des prothèses dentaires et de l’audition, nous fixons l’objectif de 100% de prise en charge pour 2022, car la couverture reste trop faible aujourd’hui. Nous réaliserons cet objectif sans augmenter le prix des mutuelles. Pour cela, nous favoriserons la concurrence, en instaurant notamment 3 contrats types que devront proposer assureurs et mutuelles pour garantir la transparence et faciliter les comparaisons."
462,Nous rétablirons le remboursement à 100% du traitement des formes sévères d’hypertension artérielle (HTA).
463,"S’agissant du tiers payant, nous prendrons le temps d’évaluer ses bénéfices et les contraintes qu’il pourrait induire."
464,Nous renforcerons le droit à l'oubli pour les personnes ayant été malades.
465,"Nous nous battrons contre les déserts médicaux qui touchent de nombreuses zones rurales, périurbaines, des villes et des hôpitaux."
466,"Le numerus clausus actuel est injuste et inefficace, nous formerons davantage de praticiens et adapterons les capacités de formation aux besoins de santé des territoires."
467,"Pour répondre aux attentes nouvelles des professionnels de santé à travailler en groupe et ainsi favoriser leur installation dans les territoires sous dotés, nous doublerons le nombre de maisons pluridisciplinaires de santé."
468,"Nous déverrouillerons massivement l’accès à la télémédecine, levier de lutte contre les inégalités sociales et territoriales de santé."
469,"Nous renforcerons l’attractivité des métiers de santé de soins primaires et donnerons davantage d’autonomie aux hôpitaux en diversifiant les modes de rémunération des professionnels et les modes de financement des hôpitaux, dans un cadre sécurisé nationalement."
470,"Nous évaluerons la qualité et la pertinence des soins, rendrons les informations totalement transparentes pour les usagers, améliorerons la formation des professionnels et la diffusion des bonnes pratiques."
471,"Actuellement, un médicament acheté sur deux n’est pas consommé avec un risque d’automédication et d’impact environnemental. Cela entraîne un gaspillage de 7 milliards d’euros par an : nous généraliserons donc la vente de médicaments à l’unité."
472,Nous accélérerons le déploiement des groupements hospitaliers de territoire.
473,"Nous diversifierons les modes de financement des établissements de santé, en réduisant la place de la tarification à l’activité (T2A) pour favoriser des financements liés à des objectifs précis et des missions de santé publique, aux parcours ou aux épisodes de soins, incluant le secteur médico-social."
474,"Nous soutiendrons les initiatives et les expérimentations des professionnels de santé, médicaux, paramédicaux, hospitaliers et libéraux, afin de renforcer la coordination des soins et de mieux accompagner les malades dans leur parcours."
475,"Nous développerons les pratiques avancées, dans un dialogue constructif avec les professionnels de santé, afin que chacun puisse se concentrer sur son cœur de métier."
476,"Nous adapterons les formations de santé pour répondre aux nouveaux défis et aux attentes des professionnels, comme par exemple l’accès au doctorat à plus de paramédicaux pour développer la recherche et harmoniser les pratiques soignantes."
477,"Pour soutenir nos entreprises innovantes en santé, les inciter à produire en France et diffuser plus rapidement l’innovation, nous assurerons des autorisations plus rapides de mise sur le marché."
478,"Nous ouvrirons avec les industriels un dialogue sincère et exigeant pour payer les médicaments à leur juste prix, soutenir l’innovation et la production en France, renforcer la visibilité pour chacun, dans la durée."
479,Nous gérerons nos dépenses et notre stratégie de santé sur un horizon de plusieurs années pour donner de la visibilité et de la stabilité aux acteurs de santé.
480,"Parce qu’on ne peut pas se contenter de limiter les coûts à court terme et qu’il faut changer de logique pour faire des économies durables, nous investirons pour faire des réformes de fond."
481,Nous diminuerons la bureaucratie et imposerons un retour au coeur du métier de policier pour plus de présence sur le terrain.
482,Nous mettrons en place des outils répressifs au plus proche du terrain et mieux adaptés.
483,Nous intégrerons davantage les forces de sécurité dans les quartiers.
484,L’échelon du quartier doit être préféré à celui de la commune.
485,Nous susciterons des partenariats locaux innovants entre policiers et habitants.
486,"Nous accroîtrons la déconcentration des responsabilités au sein des services de police et de gendarmerie, et donc les marges d’autonomie, pour permettre aux échelons les plus bas une meilleure prise en charge des problèmes spécifiques locaux."
487,Ce qui a fait ses preuves doit être renforcé et mieux financé.
488,"Nous recruterons 10 000 policiers et gendarmes supplémentaires en 5 ans, sur la base de 7 500 policiers et 2 500 gendarmes. Ces effectifs nouveaux seront affectés en premier lieu dans les zones prioritaires."
489,Nous adapterons le recrutement des policiers pour une meilleure intégration dans les territoires.
490,Nous relancerons vigoureusement la formation. Les forces de police doivent être mieux équipées pour faire face aux nouvelles situations.
491,"Nous généraliserons, en particulier dans les quartiers prioritaires ou dans les quartiers marqués par une baisse de la confiance entre la police et la population, l’usage des caméras piétons pour enregistrer les contrôles d’identité."
492,Nous maintiendrons et amplifierons notre stratégie à l’extérieur.
493,"Nous renforcerons, moderniserons et adapterons notre stratégie de sécurité intérieure."
494,"Nous mobiliserons de manière concertée les ministères de l’Intérieur, de la Justice, de la Défense, des Finances et des Affaires Etrangères."
495,Nous remodèlerons l’organisation du renseignement.
496,Nous mettrons en place une véritable programmation sur 4 à 5 ans pour la modernisation des moyens de la sécurité intérieure.
497,Nous poursuivrons les efforts engagés au niveau du ministère de la défense.
498,Nous créerons des centres fermés de petite taille spécifiquement dédiés à recevoir des personnes radicalisées.
499,Nous négocierons la signature d’un accord national interprofessionnel visant à organiser et faciliter la pratique du sport dans les entreprises.
500,Nous inciterons les établissements scolaires et les associations sportives locales à se rapprocher pour garantir la continuité et la complémentarité des pratiques sur le temps scolaire et extrascolaire.
501,"Nous mettrons en place des maisons du sport santé pour garantir un accompagnement personnalisé de nos compatriotes atteints d’affections lourdes (obésité, maladies cardiovasculaires, diabètes, etc.), mais aussi désireux de se remettre en forme."
502,Nous nous battrons pour permettre à tous de pratiquer une activité sportive.
503,Nous redéfinirons l’organisation de la politique du sport au niveau national.
504,"Nous nous engageons à rendre le fonctionnement des fédérations plus efficace avec l’élection systématique des présidents de fédérations par les clubs, une plus grande autonomie donnée par l’Etat."
505,Nous soutenons pleinement la candidature de Paris à l’organisation des Jeux Olympiques et Paralympiques 2024.
506,Nous améliorerons le maillage des équipements sportifs sur l’ensemble du territoire en fixant des objectifs de construction dans le cadre de nouveaux grands projets d’aménagement.
507,"Nous rendrons obligatoire la réalisation des équipements sportifs dans les zones nouvelles d’aménagement, faciliterons l’achat de créneaux dans les équipements réalisés par des opérateurs privés."
508,"Nous ferons en sorte que d’ici la fin du quinquennat, l’ensemble des sportifs de haut niveau soient en formation ou en contrat avec une entreprise."
509,"Nous simplifierons les deux services publics de la formation aux métiers du sport qui existent aujourd’hui (la formation délivrée par le Ministère des sports et celles délivrées par l’Education Nationale, les formations STAPS) dans un objectif d’efficacité et de lisibilité des offres de formation."
510,"La mise en œuvre d’un plan de valorisation du bénévolat avec le renforcement de la protection des bénévoles en matière de responsabilité personnelle et , le renforcement du mécénat de compétence."
511,Nous exonèrerons 4 Français sur 5 de la taxe d’habitation.
512,"Nous donnerons accès aux services publics en développant les maisons de services publics qui regrouperont dans un même lieu (sous-préfectures notamment) tous les services essentiels à la vie quotidienne (poste, prestations sociales, accès à l’emploi...)"
513,"Nous organiserons le retour des services publics dans les quartiers, nous sanctuariserons les soutiens aux associations et aux professionnels de terrain qui construisent et nous associerons les habitants aux décisions qui les concernent."
514,Nous doublerons le nombre de maisons de santé d’ici 2022.
515,Nous investirons dans le numérique et nous développerons la télé-médecine pour permettre les prises en charge à distance.
516,Nous investirons dans le numérique et nous développerons la télé-médecine pour permettre les prises en charge à distance.
517,"Le numerus clausus actuel est injuste et inefficace, nous formerons davantage de praticiens et adapterons les capacités de formation aux besoins de santé des territoires."
518,"Nous couvrirons en très haut débit l’ensemble du territoire. Ce sera fait d’ici la fin du quinquennat, pour ne laisser aucun territoire à la traîne dans la transition numérique."
519,Nous éliminerons les zones sans réseau (aussi appelées zones blanches).
520,"Le développement du covoiturage sera renforcé, grâce à la mise en place des voies dédiées aux bus, VTC et covoiturage sur les autoroutes urbaines et d’une modulation des péages en fonction de l’occupation des véhicules."
521,Nous porterons à 200 000 d’ici la fin du quinquennat le nombre de billets d'avion aidés chaque année pour la mobilité des ultra-marins en France et dans leur environnement régional.
522,"Nous ferons tout pour accélérer la construction dans les zones les plus tendues : simplification des procédures, soutien aux collectivités qui construisent et lutte contre les recours abusifs."
523,"La qualité architecturale, environnementale, ne doit pas être un luxe réservé aux habitants des centre-villes : elle doit être une exigence sur tout le territoire."
524,Nous lancerons un nouvel effort massif de rénovation urbaine. Nous devons doubler l'ambition des projets de renouvellement urbain pour atteindre 10 milliards d'euros.
525,Nous simplifierons la vie des commerçant en supprimant la caisse qui gère le Régime Social des Indépendants (RSI) pour l’adosser au régime général.
526,Nous soutiendrons nos agriculteurs.
527,Nous créerons des “emplois francs” pour les habitants des quartiers sensibles.
528,"Les collectivités devront s’engager à réduire la dépense publique locale, à hauteur de 10 milliards d’euros."
529,Nous donnerons plus de souplesse aux collectivités pour gérer leurs finances.
530,Nous donnerons plus de souplesse aux collectivités pour gérer leurs ressources humaines.
531,Nous donnerons plus de souplesse aux collectivités pour décider de leur propre organisation.
532,Nous consacrerons 10 milliards d’euros du plan d’investissement aux actions des collectivités.
533,"Tous les 6 mois, sera réunie autour du Premier ministre une conférence nationale des territoires, rassemblant les associations d’élus pour faire le point sur les objectifs et les résultats en matière d’économies, de réduction des coûts imposés (normes…), de mesures d’accompagnement."
534,"Nous augmenterons le revenu net de chacun, en réduisant les cotisations sociales."
535,"Nous ferons en sorte que toute reprise d’emploi se traduise par un supplément de revenu conséquent, en augmentant la prime d’activité."
536,Nous rétablirons les exonérations de cotisations sociales sur les heures supplémentaires.
537,"Nous simplifierons la vie des entreprises, en transformant le CICE en allégement permanent de cotisations sociales de 6 points."
538,"Nous faciliterons l’embauche des salariés peu qualifiés, en atteignant zéro charge générale au niveau du SMIC."
539,Nous créerons des “emplois francs”.
540,Nous créerons un code du travail digital pour mieux accompagner les PME dans les décisions qu’elles prennent.
541,"Nous réduirons nettement les cotisations sociales qui pèsent sur les indépendants (professions libérales, commerçants, artisans, agriculteurs…) : 500 euros de moins par an pour un revenu de 3000 euros nets par mois."
542,"Nous supprimerons la caisse qui gère le Régime Social des Indépendants (RSI) pour l’adosser au régime général, afin que tous bénéficient de la même qualité de service et des mêmes droits."
543,Nous supprimerons les charges des microentreprises nouveau nom des auto-entrepreneurs) la première année et doublerons les plafonds pour permettre à plus d’entreprises de bénéficier de cette mesure et du régime fiscal de la microentreprise.
544,"Nous ferons un effort massif pour l’apprentissage. Pour que les jeunes en difficulté scolaire puissent réussir leur apprentissage, nous développerons les périodes de pré-apprentissage."
545,Nous instaurerons un système de bonus-malus sur les cotisations d’assurance chômage.
546,"Nous instaurerons un plafond et un plancher pour les indemnités prud’homales pour licenciement sans cause réelle et sérieuse (hormis les cas de discrimination, de harcèlement, etc.)."
547,"Nous mettrons en place une assurance chômage pour tous, parce que dans un monde qui se transforme, le chômage ne peut plus être un risque contre lequel certains se couvrent à titre individuel, d’autres par des garanties collectives qui se fragilisent."
548,Nous ouvrirons les droits à l'assurance-chômage aux salariés qui démissionnent.
549,"La contrepartie de ces droits nouveaux sera un contrôle accru de la recherche d’emploi, pour lequel les moyens de Pôle Emploi seront renforcés et les sanctions rendues justes et crédibles."
550,"Parce qu’il assume en dernier ressort la responsabilité du chômage et de la précarité, l’État prendra en charge le système d’assurance-chômage en y associant l’ensemble des parties prenantes et en particulier les partenaires sociaux."
551,"La majeure partie des contributions actuelles des entreprises pour la formation sera progressivement converti en droits individuels pour les actifs. Chacun pourra s’adresser directement aux prestataires de formation, selon ses besoins. Le système sera simple."
552,Les droits seront d’autant plus élevés que les besoins de qualification sont importants. Le système sera  juste.
553,"Chacun disposera d’une information simple sur les résultats concrets de chaque formation, de chaque accompagnement (retour à l’emploi, impact sur la trajectoire salariale…) car tous les organismes seront soumis à labellisation et obligés d'afficher leurs performances : plus personne ne s’engagera dans une formation sans savoir à quoi elle mène ni quelle est sa qualité. Le système sera transparent."
554,Nous investirons massivement dans l’acquisition des compétences
555,"Nous permettrons de négocier au plus près du terrain. Le Code du travail définit un socle de droits et de règles (durée légale du travail, salaire minimum, égalité professionnelle...), qui continuera de s’imposer aux entreprises."
556,Une démarche volontariste sera engagée pour réduire fortement le nombre de branches à celles qui pourront pleinement participer à une politique de filière au-delà des métiers et des secteurs : nous pouvons viser d’en avoir entre cinquante et cent.
557,Nous simplifierons les instances de représentation du personnel pour un dialogue social plus efficace.
558,Nous renforcerons la formation des représentants des salariés.
559,Nous permettrons à chaque salarié d’apporter des ressources financées par l’employeur au syndicat de son choix.
560,"Nous encouragerons l’engagement syndical, la reconnaissance de celui-ci dans les carrières au sein des entreprises et nous lutterons contre la discrimination syndicale."
561,Nous instaurerons le non-cumul des mandats dans le temps. On ne pourra exercer plus de trois mandats identiques successifs.
562,Nous modulerons le financement des partis politiques en fonction du renouvellement des candidats investis par le parti.
563,"Nous ouvrirons les postes d’autorité dans l’Etat à toute personne pouvant justifier d’une expérience et d’une compétence utiles au service de l’État, notamment au travers de l’exercice de responsabilités politiques."
564,Nous supprimerons le régime spécial de retraites des parlementaires. Ils seront rattachés au régime général.
565,"Nous prévoirons que les nouveaux ministres, immédiatement après leur nomination, soient auditionnés par la commission permanente de l’Assemblée nationale compétente pour leur portefeuille."
566,Le Président de la République présentera son bilan national et européen une fois par an devant le Congrès.
567,"Nous demanderons aux parlementaires qui soutiennent notre action de mettre en place des dispositifs innovants d’évaluation du travail parlementaire (jurys citoyens, compte-rendus de mandat via les réseaux sociaux,...)"
568,Nous exigerons la probité de nos hommes politiques :
569,Nous exigerons que le casier judiciaire B2 des candidats à des fonctions électives soit vierge.
570,Interdire que des amendements écartés en commission soient à nouveau examinés en séance publique. La procédure parlementaire doit être plus efficace et plus rapide.
571,Limiter le nombre de mois pendant lequel on légifère et consacrer plus de temps parlementaire à l’évaluation de l’action du gouvernement.
572,"Appliquer par défaut la procédure accélérée devant le Parlement, avec une seule lecture initiale par chambre."
573,Généraliser le vote électronique d’ici 2022.
574,Nous réduirons le nombre de parlementaires au Sénat comme à l’Assemblée nationale
