,numéro,titre,introduction,mesures
55,56,Renforcer et réinvestir l'Onu pour faire vivre un monde ordonné,La France n'a pas à être le gendarme du monde. Le seul organe légitime pour assurer la sécurité collective est l'Organisation des Nations unies. La France doit proposer le retour en force de cette institution face aux déséquilibres et menaces pour la stabilité et la paix.,"Réaffirmer que l'Onu est le seul organe légitime pour la sécurité collective aux yeux de la FranceRefuser toute intervention militaire sans mandat de l'OnuFaire vivre le comité d'état-major de l'Onu pour commander les opérations de maintien de la paix et enclencher un processus de démocratisation de l'organisation. Refuser toute intervention militaire sans mandat de l'Onu. Faire vivre le comité d'état-major de l'Onu pour commander les opérations de maintien de la paix et enclencher un processus de démocratisation de l'organisation. Créer une Organisation mondiale de l'environnement dans le cadre de l'Onu. Réformer la FAO (Organisation des Nations unies pour l'alimentation et l'agriculture) pour favoriser la souveraineté alimentaire, la régulation des marchés mondiaux et la conversion écologique de l'agriculture."
56,57,"Refuser le libre-échange, instaurer un protectionnisme solidaire et la coopération économique","La mondialisation est d'abord la globalisation de l'argent et le déménagement du monde pour le seul profit des multinationales. Dans les pays développés, c'est la désindustrialisation et le chômage. Dans les pays en développement, c'est la mainmise des grandes firmes et des accords commerciaux inégaux qui pousse aux migrations. Le protectionnisme solidaire est nécessaire pour le codéveloppement et l'avènement du progrès humain partout.","Intégrer le respect des règles fondamentales de l'Organisation internationale du travail dans les accords commerciaux. Sortir de l'Organisation mondiale du commerce et renforcer la Cnuced comme organe légitime pour organiser le commerce mondial en fonction de l'intérêt général des peuples, à la place des G20, G7, FMI et OMC. Soutenir l'adoption à l'Onu d'un cadre réglementaire contraignant les multinationales à respecter un socle de normes sociales et environnementales."
57,58,Étendre les protections du droit international à de nouveaux domaines,"Face au désordre libéral et au changement climatique, la nécessité d'un monde ordonné s'impose. Mais cet ordre international doit être légitime, c'est-à-dire s'inscrire autant que possible dans l'Onu. L'impératif climatique et écologique doit être reconnu et protégé par le droit international","Protéger la haute mer de toute appropriation et du productivisme. Construire un statut international pour l'Arctique sur le modèle de l'Antarctique, protégeant de l'appropriation et du productivisme. Faire appliquer le principe de non-privatisation de l'espace prévu dans le traité de l'espace (1967). Créer un crime international d'écocide (atteinte grave à l'environnement) jugé par un tribunal international de justice écologique ou dans le cadre de la Cour pénale internationale. Créer un tribunal international de justice économique pour juger notamment les crimes financiers transnationaux (évasion fiscale internationale, spéculation, corruption)."
58,59,Lutter contre les causes des migrations,"Émigrer est toujours une souffrance pour celui qui part. Les migrations sont un sujet trop sérieux pour les réduire à des surenchères et à des pulsions incontrôlées. La première tâche est de permettre à chacun de vivre chez soi. Pour cela, il faut arrêter les guerres, les accords commerciaux qui détruisent les économies locales, et affronter le changement climatique qui sera, sinon, pourvoyeur de centaines de millions de réfugiés climatiques.","Gérer enfin les migrations à l'échelle internationaleCréer une Organisation mondiale des migrations liée à l'Onu pour renforcer l'action internationale aujourd'hui réduite au Haut Commissariat aux réfugiés de l'Onu et à l'Organisation Internationale pour les migrationsOrganiser une conférence internationale annuelle sur les migrations, sous l'égide de l'Onu, combinant les réponses d'urgence, le soutien aux pays d'accueil, la préparation du retour des réfugiés et l'anticipation des millions de réfugiés climatiques des décennies à venir. Créer une Organisation mondiale des migrations liée à l'Onu pour renforcer l'action internationale aujourd'hui réduite au Haut Commissariat aux réfugiés de l'Onu et à l'Organisation Internationale pour les migrations. Organiser une conférence internationale annuelle sur les migrations, sous l'égide de l'Onu, combinant les réponses d'urgence, le soutien aux pays d'accueil, la préparation du retour des réfugiés et l'anticipation des millions de réfugiés climatiques des décennies à venir. Éviter aux migrants de devoir fuir leur paysArrêter les guerres par une diplomatie active et indépendante au service de la paixMettre fin aux accords commerciaux inégaux qui déstabilisent des pays entiers, détruisent les agricultures locales et empêchent le codéveloppementAgir contre le dérèglement climatique par des transferts de technologies et l'aide financière et matérielle à la transition dans les pays les plus vulnérables. Arrêter les guerres par une diplomatie active et indépendante au service de la paix. Mettre fin aux accords commerciaux inégaux qui déstabilisent des pays entiers, détruisent les agricultures locales et empêchent le codéveloppement. Agir contre le dérèglement climatique par des transferts de technologies et l'aide financière et matérielle à la transition dans les pays les plus vulnérables. En Europe, sortir de l'impasse de Schengen et de FrontexRenforcer les moyens civils de sauvetage en mer Méditerranée pour éviter les milliers de noyésRefonder la politique européenne de contrôle des frontières extérieures et refuser la militarisation de la politique de contrôle des flux migratoiresRefuser l'accord Visa + adhésion contre migrants avec la TurquieConstruire un programme pour l'aide au retour des réfugiés qui le souhaitent lorsque la situation de leur pays de départ le permet. Renforcer les moyens civils de sauvetage en mer Méditerranée pour éviter les milliers de noyés. Refonder la politique européenne de contrôle des frontières extérieures et refuser la militarisation de la politique de contrôle des flux migratoires. Refuser l'accord Visa + adhésion contre migrants avec la Turquie. Construire un programme pour l'aide au retour des réfugiés qui le souhaitent lorsque la situation de leur pays de départ le permet. Assumer notre devoir d'humanité envers les réfugiés arrivant en EuropeRespecter la dignité humaine des migrants, leur droit fondamental à une vie de famille et accompagner les mineurs isolésEn finir avec le placement en centre de rétention d'enfants, même accompagnés de leurs parentsConstruire des centres d'accueil aux normes internationales sur le modèle de celui de Grande-Synthe, pour proposer aux migrants des conditions dignes et des centres d'accueil des demandeurs d'asile pour les héberger le temps de l'analyse de leur demandeRéaffirmer et faire vivre le droit d'asile sur le territoire de la République, accueillir les réfugiés qui en relèvent, grâce à une administration adaptée à cette mission. Respecter la dignité humaine des migrants, leur droit fondamental à une vie de famille et accompagner les mineurs isolés. En finir avec le placement en centre de rétention d'enfants, même accompagnés de leurs parents. Construire des centres d'accueil aux normes internationales sur le modèle de celui de Grande-Synthe, pour proposer aux migrants des conditions dignes et des centres d'accueil des demandeurs d'asile pour les héberger le temps de l'analyse de leur demande. Réaffirmer et faire vivre le droit d'asile sur le territoire de la République, accueillir les réfugiés qui en relèvent, grâce à une administration adaptée à cette mission."
59,60,Construire la paix en Syrie,"La Syrie est ravagée par cinq ans de guerre. La guerre civile a laissé place à une guerre de mercenaires où les puissances régionales et internationales s'affrontent par groupes interposés. Cela suffit. La France doit changer de stratégie et œuvrer enfin pour l'éradication de Daech, le retour à la paix, la transition politique et la reconstruction de la Syrie.","Réviser les alliances hypocrites avec les pétromonarchies du Golfe (Qatar, Arabie saoudite…) et le régime turc actuel, tarir les financements des terroristes. Mettre en place une coalition universelle sous mandat de l'Onu pour éradiquer Daech et rétablir la paix et la stabilité en Syrie et en Irak, associant les combattants kurdes. Construire une solution politique en Syrie pour une paix durable, sous l'égide de l'Onu et reposant sur :Un cessez-le-feu durable excluant les groupes islamistesLe soutien au processus de Genève en y intégrant les kurdes de SyrieL'organisation d'élections libres et pluralistes, sans ingérence étrangère, sous surveillance de l'Onu pour que le peuple syrien décide souverainement et démocratiquement de ses dirigeantsLa garantie de l'intégrité de l'État syrien et de ses frontières. Un cessez-le-feu durable excluant les groupes islamistes. Le soutien au processus de Genève en y intégrant les kurdes de Syrie. L'organisation d'élections libres et pluralistes, sans ingérence étrangère, sous surveillance de l'Onu pour que le peuple syrien décide souverainement et démocratiquement de ses dirigeants. La garantie de l'intégrité de l'État syrien et de ses frontières. Organiser à Paris une conférence internationale pour la reconstruction de la Syrie et le retour des réfugiés."
60,61,Agir pour une paix juste et durable entre Israël et la Palestine,Les conditions d'une paix juste et durable au Proche-Orient sont connues. Elles sont inscrites dans les résolutions de l'Onu depuis 1967. Il manque la volonté politique de les faire appliquer. La France doit reconnaître l'État palestinien et prendre une initiative pour la paix entre cet État et Israël.,"Reconnaître l'État palestinien. Appuyer la solution à deux États coexistant pacifiquement par l'application pleine et entière des résolutions de l'Onu (reconnaissance du droit souverain du peuple palestinien à disposer d'un État viable et indépendant, dans les frontières de 1967, avec Jérusalem Est pour capitale et dans le respect du principe du droit au retour des réfugiés)."
61,62,Construire des coopérations altermondialistes et internationalistes,"Un autre monde est possible. Plus juste, plus ordonné, plus écologique et non soumis à la finance. Pour cela, de nouvelles coopérations doivent être engagées et d'autres renforcées. La France doit proposer une nouvelle alliance altermondialiste pour changer le cours du monde","En finir avec la Françafrique : respecter l'indépendance des États africains et la souveraineté des peuples en s'interdisant de se mêler des élections et en réprimant les corrupteurs. Tenir enfin l'objectif de consacrer 0,7 % du revenu national brut au budget de l'aide publique au développement. Relancer la politique de codéveloppement et de coopération (scientifique, universitaire, sanitaire…) avec les pays en développement, notamment en matière de lutte contre le changement climatique. Adhérer à la banque de développement des BRICS et bâtir une nouvelle alliance altermondialiste avec les BRICS, ouverte à tous et fondée sur l'indépendance de chacun, la coopération et le renforcement de l'ordre international légitime de l'Onu. Soutenir le projet chinois d'une monnaie commune mondiale pour libérer l'économie mondiale de la domination du dollar. Appuyer la mise en œuvre d'un mécanisme de restructuration des dettes souveraines dans le cadre de l'Onu sur la base de la résolution votée en 2015 sur proposition de l'Argentine. Multiplier les coopérations avec les pays émergents pour repousser les frontières de la connaissance et de l'humanité (coopération spatiale, maritime…). Instaurer une politique de codéveloppement avec l'Amérique latine et les Caraïbes en adhérant à l'ALBA."
62,63,Unir le petit bassin méditerranéen autour d'objectifs communs de progrès,"Ne nous résignons pas à voir la mer Méditerranée devenir seulement un cloaque ou un cimetière pour migrants. Il y a tant d'intelligence et tant à faire autour d'elle. Reprenons le fil de l'histoire de l'humanité, faisons place à l'intelligence, à la culture, aux coopérations techniques, scientifiques, écologiques. France, Italie, Espagne, Portugal, Grèce, Algérie, Maroc, Tunisie et Libye peuvent agir ensemble. La France doit assumer la responsabilité particulière créée par son histoire, sa géographie, sa langue, la richesse et la diversité de son peuple.","Créer une chaîne de télévision méditerranéenne émettant en plusieurs langues et diffusée sur les deux rives de la Méditerranée et sur internet, sur le modèle de la chaîne franco-allemande Arte.. Créer un réseau d'universités méditerranéennes couvrant tous les niveaux de formations d'enseignement supérieur. Organiser un réseau méditerranéen de l'enseignement professionnel. Créer un organisme méditerranéen de sécurité civile  pour lutter contre les incendies, pour le secours en mer ou en cas de catastrophes naturelles. Mettre en place une structure commerciale de lutte contre les pollutions et de gestion de l'écosystème de la mer Méditerranée."
63,64,Passer à la francophonie politique,"La langue française est la troisième langue la plus parlée au monde. Mais si peu est fait pour la mettre en valeur, la diffuser, multiplier ses usages et les liens entre ceux qui l'ont en usage commun. C'est un trésor à faire vivre pour un monde meilleur et davantage de mises en commun.","Réorganiser les institutions de la francophonie en agissant pour son recentrage sur la défense, le rayonnement de la langue et son usage commun. Créer une académie et un Erasmus de la francophonie. Renforcer le réseau des Instituts/Alliances français dans les pays non francophones et planifier les échanges d'étudiants et de lycéens. Renforcer la présence des auteurs francophones ultra-marins et étrangers dans les programmes scolaires. Élaborer des contenus éducatifs et des diplômes communs entre pays francophones. Développer au moins une revue scientifique internationale digne de ce nom en français. Défendre l'usage du français dans les institutions internationales à commencer par l'Union Européenne. Renforcer les médias audiovisuels francophones (RFI, France 24 et TV5 Monde) et les mettre en partage avec la communauté francophone."
64,65,Définir de nouveaux indicateurs de progrès humain,"L'activité humaine ne doit plus être réduite aux seuls chiffres de la croissance, des cours de la Bourse ou des chiffres du déficit public. L'action de l'état et les politiques menées doivent viser d'autres objectifs et être évaluées au regard d'autres critères que ceux actuellement à l'œuvre : des objectifs et des critères de bien-vivre et de progrès humain (santé, éducation, etc.). Le droit au bonheur est encore une idée neuve !",
65,66,Viser l'allongement de l'espérance de vie et l'espérance de vie en bonne santé,"L'espérance de vie a reculé en 2015 en France pour la première fois depuis 1969. C'est le cas dans plusieurs pays développés, en particulier pour les travailleurs et les pauvres. L'espérance de vie en bonne santé recule aussi. Tels sont les effets de la malbouffe, des pollutions, de la précarité grandissante et du recul des services publics de santé, sous les coups de boutoir libéraux. Cette grande régression peut être stoppée.",
66,67,Faire passer la santé d'abord et pour tous,"Le système de santé français a longtemps été le meilleur au monde. Mais aujourd'hui, l'austérité et la marchandisation ont entamé sa dislocation. Combien de déserts médicaux où il est impossible de trouver un généraliste, un ophtalmo, un gynécologue, dans les zones rurales mais aussi dans les grandes villes ? Combien d'heures d'attente aux urgences malgré le dévouement des personnels ? Combien de maladies chroniques liées à notre mode de vie ? Combien de cas où le travail blesse ou tue en silence ? Et comment ne pas voir les reculs de la Sécurité sociale et la hausse des inégalités entre riches et pauvres ? La santé publique doit redevenir une exigence de premier ordre.","Rembourser à 100 % les soins de santé prescrits, dont les soins et appareils dentaires, optiques et auditifs, faire baisser les tarifs des lunettes et appareils auditifs. Instaurer une politique de santé publique et de préventionÉlaborer un plan de santé environnementale (lutte contre la pollution, interdiction des pesticides…)Engager un plan de santé au travail, implanter un réseau sans faille de médecine du travailÉradiquer les maladies chroniques liées à l'alimentation : lutte drastique contre l'obésité, contre la malbouffe et les abus de sel, sucre et graisses par l'industrie agro-alimentaire…Abolir le logement insalubre et lutter contre le mal-logement et leurs conséquences sanitairesFaire de la prévention et de l'éducation à la santé dès le plus jeune âge, en renforçant la médecine scolaire et la Protection maternelle et infantileImposer un plan de lutte et de prévention contre les maladies sexuellement transmissibles et promouvoir des politiques de santé sexuelle et reproductive émancipatrices des personnes. Élaborer un plan de santé environnementale (lutte contre la pollution, interdiction des pesticides…). Engager un plan de santé au travail, implanter un réseau sans faille de médecine du travail. Éradiquer les maladies chroniques liées à l'alimentation : lutte drastique contre l'obésité, contre la malbouffe et les abus de sel, sucre et graisses par l'industrie agro-alimentaire…. Abolir le logement insalubre et lutter contre le mal-logement et leurs conséquences sanitaires. Faire de la prévention et de l'éducation à la santé dès le plus jeune âge, en renforçant la médecine scolaire et la Protection maternelle et infantile. Imposer un plan de lutte et de prévention contre les maladies sexuellement transmissibles et promouvoir des politiques de santé sexuelle et reproductive émancipatrices des personnes. Combler les déserts médicaux et créer un corps de médecins généralistes fonctionnaires rémunérés pendant leurs études, afin de pallier l'insuffisance de médecins dans certaines zones. Abolir les dépassements d'honoraires, renforcer le paiement au forfait, créer des centres de santé pratiquant le tiers payant. Reconstruire le service public hospitalier, revenir sur la tarification à l'acte et les suppressions de lits et de personnels, et engager un plan pluriannuel de recrutement de médecins, infirmiers, aides-soignants et personnels administratifs. Créer un pôle public du médicament pour faciliter l'égal accès aux traitements, protéger la recherche de la finance et supprimer l'influence des entreprises privées dans les activités médicales et hospitalières, notamment par l'arrêt de l'accès libre des visiteurs médicaux à l'hôpital public. Mener un plan national de lutte contre la résistance microbienne en faisant le bilan de l'élevage productiviste, comme le recommande l'Organisation mondiale de la santé.."
67,68,Pas d'obstacle aux personnes en situation de handicap,"Non, le handicap n'est pas une affaire privée. C'est d'abord une affaire publique. Celle de la dignité des personnes en situation de handicap, de leur liberté, de l'égalité entre les êtres humains. Le plan de lutte contre les obstacles au travail et dans les espaces publics a été trop de fois repoussé. La prise en compte du handicap est trop souvent reléguée au second plan ou noyée parmi d'autres thèmes comme la dépendance ou la maladie. Une personne en situation de handicap n'est pas plus que quiconque réductible à son handicap.","Atteindre enfin l'objectif zéro obstacle : tolérance zéro contre les entraves, les préfets pourront se substituer aux maires pour imposer les travaux et fermer les bâtiments privés ne respectant pas la loi, et imposer un plan de mise en accessibilité des transports (trains intercités notamment). Titulariser les personnels d'accompagnement des élèves en situation de handicap et recruter pour renforcer les capacités d'accueil et d'accompagnement. Augmenter l'allocation aux adultes handicapés (808 euros de base aujourd'hui) au niveau du smic pour les personnes en situation de handicap dans l'incapacité totale de travailler. Assurer la pérennité des moyens pour le financement de l'insertion professionnelle des personnes en situation de handicap et garantir leur usage exclusif pour ces missions."
68,69,Changer de logique en matière d'addiction et de drogues,"La politique française en matière de drogues se résume trop souvent à la répression, et la guerre contre la drogue est un échec à la fois sanitaire et de sécurité. Il y a si peu de réflexion sur les consommations de psychotropes, si peu d'efforts pour aider les personnes à sortir de ces consommations. L'heure est venue de changer la stratégie pour lutter plus efficacement et plus humainement contre les addictions.","Établir un diagnostic global des consommations, intégrant les anxiolytiques prescrits médicalement et viser une politique de réduction des risques, plutôt que de répression des consommateurs, s'attaquant à la variété des causes des addictions. Légaliser et encadrer la consommation, la production et la vente de cannabis dans des conditions permettant de lutter contre l'addiction par le contrôle de la qualité des produits et des quantités écoulées : production et vente encadrées par l'État (entreprises publiques ou système de licences délivrées par l'administration), taxation, interdiction de la vente d'alcool et de cannabis dans un même lieu, interdiction effective de la vente aux mineurs. Affecter les recettes des taxes sur le cannabis à des programmes de lutte contre les addictions et à une politique de prévention et d'aide à la désintoxication."
69,70,En finir avec la souffrance sociale et la souffrance au travail,"Le chômage tue de 10 000 à 14 000 personnes par an. Le travail tue 1 000 personnes par an du fait d'accidents, de maladies professionnelles, de suicides. La souffrance physique et psychologique est un mal très largement répandu et très souvent passé sous silence. Ça suffit !","Déclarer la souffrance au travail grande cause nationale pour mobiliser les moyens financiers et de communication contre ce fléau et subventionner les réseaux professionnels et de santé agissant sur ce thème, ainsi que les artistes mettant en lumière la souffrance au travail. Renforcer la médecine du travailIntégrer la médecine du travail au service public de santé et garantir ses moyensRestaurer la visite médicale obligatoire à l'embauche auprès d'un médecin et périodiquement en cours de contrat de travailOuvrir l'accès de la médecine du travail aux chômeurs et instaurer une visite obligatoire pour les chômeurs au-delà de six mois. Intégrer la médecine du travail au service public de santé et garantir ses moyens. Restaurer la visite médicale obligatoire à l'embauche auprès d'un médecin et périodiquement en cours de contrat de travail. Ouvrir l'accès de la médecine du travail aux chômeurs et instaurer une visite obligatoire pour les chômeurs au-delà de six mois. Reconnaître le burn-out comme maladie professionnelle, lutter contre l'idéologie managériale et ses effets psychologiques et sanitaires et imposer l'enseignement des sciences sociales et des risques psychosociaux dans les cursus de gestion/commerce/ressources humaines. Faire du nombre d'accidents du travail un critère de sélection dans l'accès aux marchés publics."
70,71,Faire face collectivement au vieillissement de la population et à la perte d'autonomie,,"Réduire le reste à charge de 500 euros par mois pour les personnes en établissement et augmenter de 50 % le montant de l'APA (aujourd'hui de 700 euros) pour les personnes restant à domicile, pour faire face en urgence aux frais engagés par les personnes concernées. Construire une prise en charge solidaire de la dépendance, financée par une mise à contribution des revenus immobiliers et des successions sur les gros patrimoines. Développer un réseau public de maisons de retraite avec des tarifs harmonisés et accessibles, créer 10 000 places par an en EHPAD publics pendant cinq ans. Former, qualifier et recruter en nombre suffisant le personnel nécessaire, soit au moins 100 000 personnes. Refondre les grillles de rémunération et de qualifications pour valoriser les métiers de la prise en charge de la perte d'autonomie."
71,72,Donner la priorité aux enfants,"Une société se juge à la place qu'elle accorde à ses enfants et aux efforts qu'elle consent pour eux. Accueil, protection, scolarisation, la France manque de moyens publics pour les enfants, laissant se propager les inégalités. Investissons pour leur avenir.",Verser une allocation familiale dès le premier enfant. Créer un service public de la petite enfance et ouvrir 500 000 places en crèche et modes de garde adaptés dans les cinq ans. Renforcer les moyens de l'aide sociale à l'enfance et de la protection judiciaire de la jeunesse.
72,73,Instruire mieux et davantage,"Une école fermée par jour depuis dix ans. 22 000 journées de classe perdues en 2015-2016, faute de professeurs remplaçants en nombre suffisant. Des activités périscolaires payantes pour 40 % des familles. Quelle régression ! Le but des libéraux est de créer un marché de l'éducation en sabordant l'éducation publique, laïque et gratuite. L'éducation n'est pas une marchandise. Elle est la principale richesse du peuple et du pays. Il est temps de réparer les dégâts !","Adopter une loi d'orientation pour l'écoleAbroger la réforme du collège du gouvernement VallsGarantir le cadre national des programmes et des diplômesÉtendre la scolarité obligatoire de 3 à 18 ans, en adaptant les pédagogies et les parcours scolaires. Abroger la réforme du collège du gouvernement Valls. Garantir le cadre national des programmes et des diplômes. Étendre la scolarité obligatoire de 3 à 18 ans, en adaptant les pédagogies et les parcours scolaires. Assurer l'égalité devant l'écoleInstaurer une nouvelle carte scolaire établissant la mixité socialeMettre en œuvre un plan de lutte contre les inégalités à l'école maternelle et primaire, notamment avec un droit à la scolarisation dès 2 ans, la baisse du nombre d'élèves par classe en primaire, la présence de davantage d'instituteurs que de classes dans les écoles, le développement des Réseaux d'aide aux élèves en difficulté. Instaurer une nouvelle carte scolaire établissant la mixité sociale. Mettre en œuvre un plan de lutte contre les inégalités à l'école maternelle et primaire, notamment avec un droit à la scolarisation dès 2 ans, la baisse du nombre d'élèves par classe en primaire, la présence de davantage d'instituteurs que de classes dans les écoles, le développement des Réseaux d'aide aux élèves en difficulté. Assurer la gratuité réelle de l'éducation publique, y compris les cantines, le transport et les activités périscolaires, fournir gratuitement aux élèves les manuels scolaires, ainsi que des fournitures sans marque, pour assurer une réelle égalité des conditions entre élèves et lutter contre l'intrusion marchande à l'école. Recruter au moins 60 000 enseignants supplémentaires sur le quinquennat et mettre en place un dispositif de prérecrutement pour favoriser l'accès au métier d'enseignant pour les jeunes issus de milieux populaires. Revaloriser le salaire des enseignants, en particulier ceux du primaire. Réserver l'argent public au financement de l'école publique (abrogation de la loi Carle notamment)."
73,74,Qualifier tout le monde,"L'apprentissage. Les libéraux n'ont que ce mot à la bouche. Ils oublient l'essentiel : dans le monde d'aujourd'hui, l'élévation continue du niveau de qualification des travailleurs est essentielle. Et l'apprentissage n'offre une réponse que très partielle à cette exigence, sans oublier que ce statut rime souvent avec précarité pour les jeunes. Les filières d'enseignement professionnel publiques sont détruites. Elles sont pourtant une voie d'excellence dans laquelle la moitié de la jeunesse du pays étudie. Là réside une grande partie de la solution pour l'avenir des jeunes et du pays.","Appuyer l'enseignement professionnel public, arrêter les fermetures de classes et de lycées professionnels et augmenter le nombre d'établissements. Rétablir le bac professionnel en quatre ans. Développer les cursus courts dans l'enseignement supérieur et encourager la poursuite d'études après un bac professionnel ou technologique (BTS, DUT, licences professionnelles…). Refonder l'organisation de la formation professionnelle des adultes et la formation continue, et l'inclure dans le service public de l'enseignement professionnel. Elle doit d'abord profiter aux travailleurs pas ou peu qualifiés et aux chômeurs."
74,75,Refonder l'enseignement supérieur,"Précarité des étudiants, doctorants et jeunes diplômés, concurrence entre établissements, financements insuffisants et aléatoires, abandon de formations de proximité partout sur le territoire… C'est dans l'enseignement supérieur que les conséquences de la marchandisation sont les plus avancées. Tout est à reconstruire.","Réorganiser les grands instituts publics de recherche (CNRS, Inserm, Inra, etc.), garants des recherches d'intérêt général et supprimer l'ANR. Redonner à l'enseignement supérieur et à la recherche les moyens nécessaires au développement du savoir et de la qualification professionnelle. Créer, dans chaque université, une université populaire, ouverte à tous et chargée d'organiser le lien entre les chercheurs et la population, dans un esprit de diffusion des savoirs et de réflexion citoyenne sur leur usage. Refonder le financement de l'enseignement supérieur et de la recherche pour favoriser les financements pérennes plutôt que des appels à projets erratiques, augmenter le budget des universités et assurer une rémunération unifiée. Abroger les lois LRU et Fioraso pour :Reconstruire une offre cohérente de formations d'enseignement supérieur sur tout le territoire, y compris dans les villes moyennes, et pilotées nationalement. Les ComUE, regroupements forcés, seront dissoutesArrêter le féodalisme des présidents d'universités pour une direction démocratique et collégiale des universités, pour des procédures transparentes d'attributions des postes d'enseignants-chercheurs, pour mettre un terme à la concurrence entre universités, dont la concurrence malsaine pour les financements, ainsi qu'à l'évaluation permanente, chronophage et bureaucratique, au profit d'une évaluation scientifique. Reconstruire une offre cohérente de formations d'enseignement supérieur sur tout le territoire, y compris dans les villes moyennes, et pilotées nationalement. Les ComUE, regroupements forcés, seront dissoutes. Arrêter le féodalisme des présidents d'universités pour une direction démocratique et collégiale des universités, pour des procédures transparentes d'attributions des postes d'enseignants-chercheurs, pour mettre un terme à la concurrence entre universités, dont la concurrence malsaine pour les financements, ainsi qu'à l'évaluation permanente, chronophage et bureaucratique, au profit d'une évaluation scientifique. Mettre fin à la précarité des doctorants et jeunes chercheurs par la titularisation des personnes effectuant des missions pérennes. Permettre aux universités publiques d'accéder gratuitement aux articles de leurs chercheurs sans enrichir les revues et bases de données privées. Créer une nouvelle section économie et société du Conseil national des universités, pour assurer le pluralisme dans l'enseignement et la recherche économique et sociale. Remettre en cause la dualité entre grandes écoles et universités en les intégrant et en égalisant les moyens octroyés."
75,76,Éradiquer l'illettrisme et développer l'alphabétisation,"Plus de deux millions de personnes sont illettrées en France. Personne n'en parle. Pourtant, pour elles, travailler, se déplacer et accomplir tant d'autres actes de la vie quotidienne est une souffrance. C'est indigne d'un grand pays comme le nôtre.",Éradiquer l'illettrisme pour les jeunes sortis du système scolaire et les adultes à l'horizon 2022. Développer les structures d'alphabétisation et les cours de langue française pour les personnes non francophones.
76,77,"Démocratiser la culture et ses pratiques, soutenir ceux qui la font vivre","Festivals annulés, baisse du budget de la culture pour la première fois depuis des décennies… Le bilan de François Hollande est affligeant. Retrouvons l'ambition culturelle. Ne réservons pas la culture à quelques lieux ou à quelques publics, faisons-la revenir et entrer partout.","Défendre l'exception et la diversité culturelles dans toutes les négociations internationales. Porter le budget consacré à l'art, à la culture et à la création à 1 % du PIB chaque année pour :Pérenniser le régime des intermittents du spectacle sur la base de l'accord du 28 avril 2016 et l'étendre aux professions artistiques précairesSoutenir la création, le spectacle vivant, et l'appropriation par tous des œuvres et pratiques culturelles, et ce par le renouveau de l'éducation artistique à l'école et dans les conservatoires, de l'éducation populaire et de la culture en entreprise. Pérenniser le régime des intermittents du spectacle sur la base de l'accord du 28 avril 2016 et l'étendre aux professions artistiques précaires. Soutenir la création, le spectacle vivant, et l'appropriation par tous des œuvres et pratiques culturelles, et ce par le renouveau de l'éducation artistique à l'école et dans les conservatoires, de l'éducation populaire et de la culture en entreprise. Supprimer la Hadopi, qui n'a pas fonctionné, et mettre en place un nouveau cadre du partage numérique de la culture par :L'instauration d'une cotisation universelle sur les abonnements internet, finançant la création et ouvrant droit en contrepartie au téléchargement non marchandLa création d'un service public nouveau de l'internet et d'une médiathèque publique en ligne, avec une plate-forme publique d'offre légale en ligne de musique, films et contenus culturels. L'instauration d'une cotisation universelle sur les abonnements internet, finançant la création et ouvrant droit en contrepartie au téléchargement non marchand. La création d'un service public nouveau de l'internet et d'une médiathèque publique en ligne, avec une plate-forme publique d'offre légale en ligne de musique, films et contenus culturels."
77,78,Libérer le sport et les corps de l'argent,"La politique sportive est aujourd'hui réduite à la course à l'accueil des grandes compétitions internationales. Paris s'est engagée pour accueillir les Jeux olympiques de 2024. Mais pour faire quoi ? Dépenser à perte des milliards d'euros dans des infrastructures et offrir quinze jours de publicité aux multinationales sponsors ? Pendant ce temps, tant de clubs et d'associations sportives populaires luttent pour leur survie. Faisons le choix d'un sport libéré de l'argent, d'un sport pour tous, en réaffirmant la fonction émancipatrice de la pratique sportive.","Réaffirmer le rôle des professeurs d'EPS dans la transmission d'une éducation physique obligatoire pour toutes et tous. Interdire la cotation en Bourse des clubs sportifs, s'opposer au naming et à l'appropriation commerciale des équipements et compétitions. Interdire à tout sportif qui n'est pas fiscalement domicilié en France de participer à l'équipe nationale dans le cadre des dispositions d'imposition des Français à l'étranger, refuser toute forme de défiscalisation et de réduction de cotisations sociales sur les revenus des sportifs professionnels. Garantir l'égalité entre le sport féminin et masculin, y compris en matière de diffusion à la télévision. Renforcer les liens de solidarité entre le sport pour tous et le sport de haut niveau, entre les secteurs amateur et professionnel, augmenter la taxation sur les retransmissions sportives à la télévision (taxe Buffet), pour financer le sport amateur, démocratiser la gestion des fédérations sportives et assurer la souveraineté des licenciés sur leur fédération."
